Lemma	T19_Kendall_w2v	T19_Jaccard_w2v	T19_NDCG_w2v	T19_w2v	T19_Kendall_ft	T19_Jaccard_ft	T19_NDCG_ft	T19_ft	TA_Kendall_ft	TA_Jaccard_ft	TA_NDCG_ft	TA_ft
евангелие	0.3164692803891659	0.1583011583011583	0.37760216581210077	0.059774860225081584	0.3852074188926162	0.171875	0.4333543603082579	0.07448278067798184	0.31320578626768025	0.08695652173913043	0.3051034887850196	0.026530738155219093
откровение	0.26944203123814325	0.12359550561797752	0.3105789318109655	0.03838616011146765	0.25309570667886944	0.10294117647058823	0.20726146628126038	0.021335739176012097	0.18446388758151716	0.07142857142857142	0.16304696917032924	0.011646212083594945
истинный	0.32070163980827454	0.15384615384615385	0.3585134382863851	0.05515591358252079	0.315223427931091	0.11940298507462686	0.3517482468426435	0.04199979066777833	0.18027016690440112	0.06007067137809187	0.17650529355399103	0.010602791485575433
благо	0.19550075151044652	0.1583011583011583	0.35554782515720035	0.05628363255384252	0.1628325064971466	0.1320754716981132	0.3418187499219024	0.045145872631194656	0.14025847993287635	0.023890784982935155	0.08132541249809791	0.0019429279436405645
иисус	0.3541777910864513	0.12781954887218044	0.23541849178645644	0.03009108541631398	0.2856181645387693	0.11524163568773234	0.27518608022209723	0.03171289400329001	0.29377451246137837	0.08695652173913043	0.33077423380098986	0.028762976852259987
христос	0.46871896303956695	0.16731517509727625	0.467182029628817	0.07816664308964642	0.39492424908677304	0.16279069767441862	0.44378864869036716	0.07224466374029233	0.4071453177957585	0.11524163568773234	0.3501128834871986	0.04034758136841322
сын	0.3135351298915159	0.08695652173913043	0.3186900211944832	0.027712175756042016	0.27017860147740835	0.12781954887218044	0.35780375831744027	0.0457343149729059	0.15864536676580485	0.05263157894736842	0.23723903849070022	0.012486265183721063
бог	0.2169354329905877	0.07526881720430108	0.1907074247950252	0.014354322296399746	0.26455967655268603	0.07526881720430108	0.2554582415910942	0.01922803968965225	0.29047563483206995	0.07913669064748201	0.2414504735950521	0.01910759143557966
воля	0.20980902547374292	0.0989010989010989	0.22003747161025775	0.02176194774167384	0.18608062378326007	0.0989010989010989	0.23352373654811778	0.02309575416409956	0.076397770709764	0.034482758620689655	0.08133128255487199	0.002804526984650758
жизнь	0.1396416965063054	0.08695652173913043	0.16753779005449784	0.014568503482999812	0.16335815898322703	0.07526881720430108	0.19008214486987715	0.01430725821601226	0.12467518933417512	0.034482758620689655	0.08739449482230122	0.0030136032697345248
весь	0.18776696930480039	0.12359550561797752	0.3766105979961389	0.04654737728042166	0.16510905029065714	0.07526881720430108	0.23640294233956255	0.01779376985351546	-0.020517831725066753	0.0273972602739726	0.06969556269418176	0.0019094674710734727
человек	0.1949545534903974	0.06007067137809187	0.1882789731157903	0.011310044321443233	0.2086576012501154	0.05263157894736842	0.1955715941353178	0.010293241796595673	0.15733726385781396	0.013513513513513514	0.04031316615667661	0.000544772515630765
жалеть	0.40315219156394366	0.18110236220472442	0.49639762167291873	0.08989878187777268	0.496036060916569	0.15384615384615385	0.4485363742537528	0.0690055960390389	0.3577539406070746	0.0948905109489051	0.2741967327356068	0.026018668069802103
знать	0.23675453977268582	0.1857707509881423	0.3911426442574804	0.07266286276719992	0.33988254404311163	0.1583011583011583	0.39198059590951606	0.06205098236405466	0.11491212642721958	0.056338028169014086	0.22141767124390715	0.012474234999656742
учить	0.21449484988620254	0.09090909090909091	0.2999688600995044	0.02726989637268222	0.4133440549542952	0.1320754716981132	0.370902738531485	0.04898715414566783	0.29423866282402245	0.056338028169014086	0.2540343056734986	0.014311791868929499
народ	0.3918098164443677	0.1111111111111111	0.269096058320409	0.029899562035601	0.43361312675920505	0.11940298507462686	0.31556146481306424	0.0376789808732017	0.02065107104223816	0.010101010101010102	0.019208372200891947	0.00019402396162517118
говорить	0.2492009463428232	0.15384615384615385	0.389397624298946	0.05990732681522246	0.44853423730373393	0.1450381679389313	0.41155551686799235	0.059691258171693545	0.23759623271654515	0.0989010989010989	0.2645583901817863	0.026165115512484356
счастливый	0.31227860218220416	0.12359550561797752	0.3766669274615045	0.04655433934917471	0.3406931559939454	0.13636363636363635	0.3639744339733467	0.04963287736000182	0.20432901557709107	0.07526881720430108	0.2203172260312929	0.01658301701310807
богатый	0.22207302970978765	0.07142857142857142	0.2151198848639255	0.015365706061708964	0.286861102428539	0.06382978723404255	0.24001071288721398	0.015319832737481743	0.1692288110199744	0.01694915254237288	0.13621532073281759	0.0023087342497087725
веселый	0.41364803163845065	0.0948905109489051	0.321564580884167	0.03051342738316913	0.3372818818654121	0.11524163568773234	0.31351082305030875	0.0361295000541248	0.23815865392142532	0.03806228373702422	0.16181348693557915	0.006158990852219276
славный	0.1946347114032441	0.04895104895104895	0.17712367357978875	0.008670389615793856	0.2805360555870788	0.07913669064748201	0.2371224503778811	0.01876508600112728	0.15091102271258847	0.023890784982935155	0.03711412999602318	0.0008866856995636939
среди	0.23569636809374384	0.06382978723404255	0.18145728400399327	0.011582379830042122	0.2507448193686836	0.06382978723404255	0.19904129117932412	0.012704763266765368	-0.006037966436986475	0.006711409395973154	0.02182001777033204	0.00014644307228410763
нищий	0.2499923968049366	0.06382978723404255	0.21296573545682312	0.013593557582350412	0.1518678177951106	0.06761565836298933	0.2239806672038061	0.015144600273566962	0.1757087942056372	0.030927835051546393	0.1539823921844387	0.004762342026322847
