Lemma	T19_w2v	T19_ft	TA_ft
евангелие	0.059774860225081584	0.07448278067798184	0.026530738155219093
откровение	0.03838616011146765	0.021335739176012097	0.011646212083594945
истинный	0.05515591358252079	0.04199979066777833	0.010602791485575433
благо	0.05628363255384252	0.045145872631194656	0.0019429279436405645
иисус	0.03009108541631398	0.03171289400329001	0.028762976852259987
христос	0.07816664308964642	0.07224466374029233	0.04034758136841322
сын	0.027712175756042016	0.0457343149729059	0.012486265183721063
бог	0.014354322296399746	0.01922803968965225	0.01910759143557966
воля	0.02176194774167384	0.02309575416409956	0.002804526984650758
жизнь	0.014568503482999812	0.01430725821601226	0.0030136032697345248
весь	0.04654737728042166	0.01779376985351546	0.0019094674710734727
человек	0.011310044321443233	0.010293241796595673	0.000544772515630765
жалеть	0.08989878187777268	0.0690055960390389	0.026018668069802103
знать	0.07266286276719992	0.06205098236405466	0.012474234999656742
учить	0.02726989637268222	0.04898715414566783	0.014311791868929499
народ	0.029899562035601	0.0376789808732017	0.00019402396162517118
говорить	0.05990732681522246	0.059691258171693545	0.026165115512484356
счастливый	0.04655433934917471	0.04963287736000182	0.01658301701310807
богатый	0.015365706061708964	0.015319832737481743	0.0023087342497087725
веселый	0.03051342738316913	0.0361295000541248	0.006158990852219276
славный	0.008670389615793856	0.01876508600112728	0.0008866856995636939
среди	0.011582379830042122	0.012704763266765368	0.00014644307228410763
нищий	0.013593557582350412	0.015144600273566962	0.004762342026322847
бедный	0.01976959254419879	0.02000988849352755	0.004352587168649588
плакать	0.018560533287418253	0.021321747526353612	0.009078450731058457
кроткий	0.025124788013471	0.023980912384856154	0.0017411783609484752
искать	0.011142026463466048	0.014467485625899409	0.003909257312610331
истина	0.07635614078171123	0.051901562812229	0.02844112732551627
чистый	0.022051091480172636	0.024122237766168026	0.00594494005408481
сердце	0.014512352853403594	0.016193805780684568	0.005005228026226515
правда	0.030612646520973893	0.038624354514485995	0.002350171926107374
обижать	0.026697283414739148	0.030055985402542017	0.008150676197931488
преследовать	0.007086918681355012	0.009147479696883067	0.0010564603170413584
радоваться	0.08516833810358686	0.06225243961365497	0.01747423110722917
мир	0.021510593825469045	0.020043098142066975	0.002932918902957656
оскорблять	0.03144887938755247	0.03296227033902523	0.004468165893010167
гнать	0.008951969270977564	0.02005649957191039	0.0011249896418268465
пророк	0.026101351708276547	0.02771673065597993	0.018615378645838603
горе	0.060549856327026155	0.04792912077973853	0.02258450035463863
смеяться	0.0154739479210572	0.012216677670310152	0.009466745674020382
получать	0.020779734977218033	0.0432444026198138	0.026337993984089068
ожидать	0.03456123868889471	0.055525763497587935	0.01196681485384792
бедствие	0.033234909765537515	0.028419213080481998	0.007081642131869528
счастие	0.06869834637019594	0.06117497558839861	0.025382452994479523
бедность	0.025287613409152775	0.022784581992765094	0.0021906626134612795
смирение	0.014084753901943633	0.03654490316114833	0.003548783672576275
мочь	0.14117748938899594	0.05139643683176414	0.007528720685651091
нарушать	0.024456925134416475	0.04475162089227025	0.013440325992455565
чувствовать	0.03646173824682483	0.04257040308591011	0.00848787926233481
соль	0.0005457167516309012	0.0005409457631264849	3.133714800474666e-05
потерять	0.02536437060958211	0.02715509536069674	0.009662955239773825
сила	0.010599066448553369	0.02077232445612596	0.0016620964278059541
должный	0.05453906035344806	0.043087587573934424	0.018644489103094818
свеча	0.017131547547478847	0.011107895584733664	0.0004959792735850479
закрывать	0.02242673136676707	0.02525997699422734	0.001884307915367299
бесполезный	0.03195598844934374	0.02576802857135732	0.003411525936088854
никто	0.06599405690828312	0.07755726823157678	0.008154213971684466
освещать	0.015430662356109001	0.009795909364337507	0.001894642929500515
видеть	0.07129453336870414	0.06888267627815309	0.025101281605190106
отец	0.024791664234880207	0.032569869461965294	0.019345176688480428
небо	0.016513682544818463	0.017525081158475158	0.0028462617146352044
давать	0.020044110263631912	0.08233269925309697	0.005126335502861011
разрушать	0.005553638679592774	0.007039689330229407	0.0017290497944565685
единственный	0.029306452507716123	0.04150578276038157	0.0004762890486988382
вечный	0.00999987900760211	0.008577730306139264	0.004375557389150152
закон	0.04001659518849903	0.0366072228413166	0.00031319950362900185
научать	0.004834768236812593	0.024548293224688444	0.00897125925744484
средство	0.03448119912525417	0.03425428792502751	0.0002815538263265718
исполнять	0.022628217922460316	0.03457385157337755	0.0008139575830922659
существовать	0.013733356149786009	0.026647799675230215	0.0039011565981108246
нужно	0.09353403791725527	0.11486949493677051	0.023684300108763056
вместо	0.010511956379247341	0.011098408921237188	0.0009670387146618823
сотня	0.03773452250400498	0.041313005853976764	0.018032216744405787
заповедь	0.041108157519506694	0.049229186260372614	0.023849436859309556
православный	0.033023129289433725	0.04514720783353547	0.007776145585446142
несколько	0.04289857965134616	0.028094051880646186	0.02375130686115195
входить	0.08598577579408338	0.0724246109967587	0.0005129514608724896
царство	0.005886010699986779	0.015915773669805903	0.005307884093168021
слово	0.012648144072177696	0.011936789429359627	0.004985764079294415
первый	0.023863148076945673	0.01692899398201725	0.007233707851885907
прежний	0.011981413050890236	0.012547249724641456	0.010253269229704326
сказать	0.06522965265089727	0.058361782641646986	0.010759503857565076
убивать	0.027856216180485734	0.021570443235973073	0.008002318159351238
новый	0.0068746395712288655	0.005140673294603089	0.0007593643820846678
делать	0.03569212688944756	0.050962023789486555	0.002062005932493233
зло	0.06729986198671159	0.057448118478734385	0.0183393764498843
ближний	0.008401038851149328	0.012779741668849182	0.00010632326826505342
кто-нибудь	0.020166262231783944	0.0366806606310366	0.013139237022352007
иметь	0.04126487007357421	0.06552807743102014	0.00904576689050343
против	0.010293101566668073	0.026023149399781332	0.004249104412266385
находить	0.04869740516790904	0.037649305171968704	0.0019307434956131755
что-либо	0.008557720051670764	0.022260618962718224	0.005843624261672463
хотеть	0.09672739620736691	0.08737626669001483	0.01801924726317716
молиться	0.019706129367159826	0.025442089162625334	0.010535093414047831
никакой	0.06262421448106932	0.06625525333077849	0.006702217557083431
молитва	0.015724188730922132	0.022609234853057714	0.012432210883665612
услышать	0.047704131082891295	0.06023526672122411	0.03926251617818684
сердитый	0.004671397245774576	0.008566084958761249	0.0033126844953803073
стараться	0.023195234308676968	0.0381556419930035	0.017530959935304544
вставать	0.04104532387558954	0.038231886200615496	0.0016974033484882553
самый	0.014624928196460406	0.014614583021090042	0.0050196008947233075
большой	0.02858403939101167	0.026088850421401726	0.015978536415649326
ненависть	0.04411831807117501	0.04258571446571439	0.04046345467480415
второй	0.033956484898606816	0.022006812044792958	0.008743586027667609
женщина	0.039924318217891136	0.04433897979847034	0.008235060803941716
предмет	0.004944782447256238	0.011646385612120589	8.359166561092274e-05
смотреть	0.040971556617312714	0.03578715643338265	0.020953242740982606
мысль	0.03438550374705169	0.028996268874364788	0.006025796074702266
плотский	0.008601115819429931	0.013936445788027739	0.0026783861733280854
любовь	0.052406537050691045	0.035629883729699434	0.018103930781343557
избегать	0.009498636252208275	0.010607725914910092	0.0028209598905897986
возбуждать	0.03196026626276703	0.04190787176895346	0.0009000184409048129
жить	0.016786183566860326	0.03368082980206729	0.0077895347456307445
пара	0.0037055071298681356	0.0036023350904081652	0.0005098999759695005
оставлять	0.029445924519548652	0.026911099467076902	0.0019515296764697084
друг	0.02355184957297168	0.017358013483470533	0.0022849318507718263
предлог	0.013527027430351208	0.012918283727945595	3.3554122021414577e-05
мужчина	0.014715356102684348	0.019477296914124777	0.0065722654153266506
жена	0.04063718455991505	0.04474483766287824	0.02135367855488691
муж	0.05137125093069879	0.045567742068222374	0.021397966071657865
оставаться	0.024563605520917683	0.04115235819695386	0.004188515192781273
причина	0.055571449877287724	0.0700559511187242	0.011198240015387634
всякий	0.014432562032984745	0.013309576991283288	0.001129034923881818
брать	0.04032609465352192	0.03233309082596537	0.008396858448692097
распространяться	0.012841687603085992	0.017779096895946967	0.003671803595885231
расходиться	0.004148323089908664	0.01076204570929057	0.0013491632479462436
клятва	0.0078029809591108786	0.0066409704679317606	0.0072615922697867935
клясться	0.0128231531327141	0.0234641425087886	0.0027491359174385
обещать	0.05881459160381797	0.08236416944421558	0.021061566253819
полный	0.012319940318472018	0.009246551468275271	0.002578514443657775
власть	0.02372636755790071	0.029989803088863037	0.001013022718013858
требовать	0.050705398448648235	0.07532152049605442	0.011024049904395752
третий	0.03677870165883372	0.0329866150439412	0.008396871889828973
принимать	0.020866337504165142	0.031390625163979245	0.005143072327321994
наказывать	0.019727771065103875	0.02349781587646713	0.0053944221940996386
зуб	0.008029748807205134	0.02096436513106652	5.296446641357518e-05
глаз	0.020311001153954664	0.017739802640507677	0.007015640592033692
противиться	0.010916787396733331	0.023964948878287907	0.00276333272383188
переносить	0.019333193203886906	0.025773962444247057	0.0020551073936495435
обида	0.029783128652083057	0.023814993484148728	0.024073147828488316
готовый	0.020825734008018154	0.020154821763245675	0.005936231751158022
сделать	0.019188564906633298	0.049205217398510866	0.002646222290716425
нападать	0.008962476549197781	0.005506924419453066	0.0006926555092829219
судить	0.037535861052760786	0.020766420541442097	0.006190156089048924
каждый	0.02067608597274027	0.025716507512695618	0.005611849736134296
виноватый	0.05278339601052531	0.0555526169150149	0.006839577997641761
судья	0.011374384817298015	0.02070936541343104	0.0017353490654768602
добро	0.03691487895226363	0.031839219432580106	0.011840242047379193
враг	0.005353556701680969	0.006336816673179355	0.0023376412462511828
различие	0.008156786760400849	0.014280559950161104	0.00017452035155894328
брат	0.05692234452938756	0.07202154716972584	0.01344976837703678
солнце	0.013143267748639064	0.019223462621382838	0.004320860729698702
дождь	0.014040088666375343	0.018825483253101273	0.007698214608659838
называть	0.03407574764781766	0.023275093213496943	0.007858758248316429
учение	0.06934119213841199	0.04885528902134767	0.0044756034365454455
соблюдать	0.015150820490250757	0.02657332976248813	0.004428784221543327
похвала	0.013097164889136068	0.016117229830373798	0.004207347383487379
общий	0.017191938190085593	0.017120773316446	0.00024073019784269148
состоять	0.021817980136970252	0.014972690912922897	0.004640622518518135
устанавливать	0.021790802493087413	0.029931497880608775	0.002312030217051486
делаться	0.02219387520661354	0.05425384427958403	0.0024188492459395073
просьба	0.021157769407506584	0.0319822054094428	0.030644323187386125
нужда	0.031447943985312206	0.03509796149766822	0.0024672753278012632
прежде	0.057913229864795315	0.054321789381739115	0.007018444146788722
уединение	0.0037836505260125724	0.007097107737184448	0.0013641165813587264
покорность	0.018109111079740114	0.02112612987545654	0.002778893708112011
следовательно	0.008284501649343494	0.0015959204580360087	0.0009139034290615188
прощение	0.02142025727398362	0.02370278454944275	0.01403119966074396
просить	0.061970134001136976	0.07437922399495557	0.03457371341952659
избавлять	0.025134408729534173	0.04696599829493018	0.01905113718250263
начинать	0.012763371862119214	0.02403705670834187	0.007000942000138016
пост	0.0012756049020770715	0.00531166949614624	4.534948081358902e-05
определенный	0.024636032821526623	0.02936415295771155	0.0068440041375993676
день	0.053665010431495415	0.025666090299337384	0.016666998959749404
также	0.0030154831580890126	0.00357824973743458	0.001390059284380626
одобрение	0.017127073972152643	0.016181925745670935	0.01051032396431928
действовать	0.0204696124896981	0.02512832909956648	0.0029823870927249726
исполнение	0.01651604831522907	0.024451570561502406	0.0004931637807088989
лишать	0.052300141505396934	0.04568264518109974	0.015470631820717584
людской	0.002271125247675764	0.006001188097053475	0.000580084034421792
следовать	0.008440762412518836	0.025411401772737763	0.0014506297581692172
пять	0.04444458461609161	0.022658901738411025	0.01785416643068489
земля	0.017456239940080345	0.02388303477650311	0.0017341877800185867
владеть	0.008793992852234459	0.012655124408874974	0.0038615592080668715
земной	0.02075432904721405	0.020642588865386703	0.0020982393096329985
отнимать	0.044192231380857115	0.03639101200341692	0.001994133593877113
выбор	0.002765514684944471	0.014223390492636875	0.001539804386183687
добиваться	0.01168411168903123	0.019395006568193963	0.001795333584527094
представление	0.010475655792481477	0.018220883876464727	0.010123636884331693
ложный	0.013956214273944164	0.014003758328417827	0.003882238446151834
приобретать	0.015972359671100004	0.033019536705652636	0.005122191148853582
цель	0.05060857024754499	0.06138889295100484	0.01166744820071754
противоположный	0.012728648823609957	0.01984054406971717	0.0009928439786643546
служить	0.02352310181519421	0.008654303004763303	0.0010987082905238453
господин	0.01873487286088465	0.017054566759814364	0.006446766893019637
пусть	0.025948914667036527	0.021106853057250987	0.0008407095761236908
выбирать	0.013416386026270823	0.029936172445743665	0.005434806228851975
настоящий	0.035589797129072134	0.022534112287111586	0.002465775505524999
одеваться	0.030123263350229107	0.015433618499063873	0.0029697799701233693
имущество	0.01659523483174855	0.012525391703816577	0.0003986089747841217
отдавать	0.07378748118755471	0.07775777575349178	0.0133304792914679
плод	0.008272091365832028	0.003927803628236245	0.00026017763046788504
труд	0.018245757659356814	0.02898603842351792	0.0008627232923906102
заботиться	0.039339042249820017	0.05249361871800125	0.007763415905955217
пить	0.02749103726287573	0.022001089733831934	0.004978226639806265
пища	0.0199158207270476	0.027443349946650843	0.002729804511709909
одежда	0.016039968326624795	0.013988776265101525	0.007275574275511494
нужный	0.0669025546714428	0.06233800554177185	0.010762731110063534
посмотреть	0.055590907016219014	0.04485262087075469	0.017841566895459383
цветок	0.0030376042568347893	0.005077339214630875	0.000630924146444272
птица	0.014673058243270377	0.01579357911062875	0.001729293768350209
небесный	0.02480090379493456	0.02284636390737455	0.013889053941952565
проживать	0.02514293387071666	0.02053690318333425	0.004263685251535824
нуждаться	0.025988786425471283	0.022650235215338106	0.011755602278895197
сохранять	0.0064505211351523865	0.0059277212177657424	0.005798774843093805
невозможно	0.035672753349831075	0.04290075675805178	0.010521235578777249
существование	0.022895013812581293	0.042290849076723896	0.0010392416478997419
ребенок	0.05256814177161871	0.038250538040993015	0.007201110018441945
камень	0.0044820654465343255	0.003978380977062655	0.0006142830417363623
голодный	0.007532112621697932	0.008338343515516777	0.002438987820164408
злой	0.02014389972847512	0.02169211268690506	0.005716996861472714
поступать	0.015867523862477095	0.008199425510083664	2.6246913823211562e-05
бесконечный	0.003025100200384101	0.00527320092642145	0.003168658010712228
божий	0.025768937911489303	0.03460251871457953	0.016357293840877467
остальное	0.007287855611707326	0.015119113554791445	0.0012341880338017695
мгновение	0.024714759337255608	0.023155082471128123	0.006959907334199785
путь	0.009440226573954928	0.01912088747637829	0.001205107911261168
указывать	0.026812941146304045	0.04854675154815955	0.0021794317397811447
узкий	0.003698682261954872	0.01149201166577171	0.0008448463520701699
вести	0.040335847259308076	0.04460127818751769	0.004677182534091091
волк	0.011976562460380624	0.012621213436521396	0.00409478717582271
качество	0.017746931945467132	0.012979925693300582	4.490473362900391e-05
дерево	0.009066727090344772	0.008658156101757634	0.0009729857442917875
приносить	0.05419432778660549	0.06428782235347955	0.006546356907422185
узнавать	0.08057062129109362	0.06907488690272523	0.0233579056793215
разрешать	0.025351275702616236	0.026698629799930883	0.005366206869862172
проповедовать	0.038346176657665744	0.038423596485379276	0.017799783088264694
насилие	0.013740329162092887	0.014813101128913781	0.002894831349374797
учитель	0.01525683436151132	0.022614049632483237	0.00232021544575789
открывать	0.012749383775705503	0.025937143436458265	0.0061992751778096504
вход	0.008893953887506613	0.014313074930214446	0.0007251962634186496
итак	0.009348816778359527	0.009007662810100493	0.0004119108133010095
участник	0.0015449213637314602	0.0050215288837005675	0.0006192461331087623
погубить	0.009113853473610581	0.018263520301376134	0.004183200111945637
исчезать	0.010463381131777324	0.00836108390496467	0.0018488786062449557
вместе	0.02038470218813405	0.028007377143306932	0.0005085669439256524
привлекать	0.025361071655324943	0.026020078637328796	0.0039919504203264995
радовать	0.04891978724301078	0.053227847465082787	0.010871690355133913
оно	0.019270204117159167	0.0438884255036765	0.0028444464200225662
свобода	0.009615346335488151	0.02343182579117513	0.0012030372552689485
свет	0.01828876320563689	0.019658877627629138	0.004062076734164311
проводить	0.048960909466908446	0.03225913683357621	0.013554905659217222
личный	0.01964531129801574	0.015154035279331741	0.0010222236990135196
противный	0.022249045194431407	0.01887248173858197	0.00017378131914424512
согласный	0.030204195134170556	0.03904313839432452	0.013574677427676866
затем	0.0005195437295736019	0.003144812462786866	0.0006255294722999345
ученик	0.006044583671756071	0.013692152098660367	0.0025592305203200384
посылать	0.05987953370521948	0.10070067289565532	0.012144509963225684
место	0.005811483192741733	0.0033374041395476993	7.13453591123165e-05
проповедывать	0.010045134719818535	0.016022760276661847	0.00015357418901119335
показывать	0.041256038856782674	0.06539561038145487	0.006783913093240324
пример	0.005908791152890856	0.007989337949712407	0.0015558617888423941
несчастный	0.019184912963481186	0.021827177337545186	0.004352121621951199
хозяин	0.029593177112308626	0.028905102820909582	0.0031026763049446975
время	0.021183749957132573	0.01889775766614003	0.003982249132885616
рабочий	0.014249033227748838	0.011480984000124012	9.369205850566277e-05
мало	0.0578965600042265	0.05525589774296107	0.012761544821421871
идти	0.06343741028939393	0.058677775895628496	0.02071156905257658
перемена	0.030742254024329566	0.0178968348031377	0.004746542995702678
мешок	0.001588881993543532	0.0034637638349714257	0.0002924460019073756
хлеб	0.020563016136169256	0.027659848564163977	0.0018110592009604387
деньги	0.015035324469363003	0.015254080337350916	0.0015612290642390385
палка	0.00823516683515721	0.014883717016248231	0.001656683658661532
трудиться	0.016361117465412144	0.01667619419773463	0.0024157295000649193
кормить	0.028029165647766027	0.028733491016718953	0.0037900819762277634
дом	0.026234762157248764	0.022009443468448932	0.004380385415688936
показываться	0.04118137206536702	0.03633973561883643	0.009611491938669356
достойный	0.01660062125948239	0.014830595040866038	0.002388894046573607
попадаться	0.003896733967376315	0.012274339334732123	0.0035093350489047268
работать	0.02533800327903299	0.028010341692357884	0.00271901462063461
выходить	0.07122251505466368	0.05287065829219176	0.01708701120892199
упрек	0.031893924655975424	0.029922972535019313	0.0156907881249859
находиться	0.013061368712279088	0.045218122695686765	0.0060991037909955415
овца	0.01566015368697514	0.020678223867493784	0.00532539475595001
вперед	0.020294318711954137	0.02768523343714161	0.009467071607459144
враждебный	0.0029104896155266228	0.009583737262458572	0.0011760660647009006
мудрый	0.010423049979104716	0.02048087913293074	0.005540938082604836
думать	0.07377925662635268	0.059183512628323	0.00984644954807649
понести	0.0109344593186809	0.015806995323375494	0.0017317814949178226
доставлять	0.04352584949689009	0.04048554791205198	0.0003644572584934942
огонь	0.014568718820792907	0.01555813044257299	0.002519273958848086
бросать	0.005659589775261193	0.0075562436780189654	0.00042790428760796647
вносить	0.00874180450725493	0.033935845745998484	0.0007372143643853234
вызывать	0.015769383627712723	0.03628272557464193	0.008332278159467884
разделять	0.027177861820988032	0.03570680951067434	0.008596255911926977
дочь	0.04638465516682244	0.050734495133080024	0.026655631320030314
мать	0.08211331378132335	0.04681015448412453	0.0005865764488316558
родитель	0.029982477285297633	0.023726041594134346	0.008232572626840368
сделаться	0.014622278651469107	0.03700768748296589	9.110012604957471e-05
смерть	0.02618965403949726	0.027744642219930414	0.015140475221310828
ненавидеть	0.03057552977181132	0.04916852372147756	0.007548199827890317
производить	0.031074507250039504	0.03997841436822324	0.0007838102475026464
суд	0.0249881906078623	0.026168496714858665	0.00231364629170695
бить	0.010353201039324833	0.014371897604030764	0.002631544691232099
водить	0.009743647618711757	0.020468679240408513	0.0022610872704392593
правитель	0.005963415561729721	0.028348262274219528	0.001270230773922764
царь	0.0056101931898116944	0.01712253513430092	0.007419338648716013
приходиться	0.008936176880595805	0.02879358860746676	0.0010221409445332968
отвечать	0.024951902557268573	0.031407554294299575	0.01151413839409932
дух	0.009028051274624298	0.013935124318890048	0.0011797737556602558
бояться	0.04685162421830659	0.03250650869530011	0.01349434216857837
тело	0.011158401233076945	0.005577033334596355	0.0030276535637167004
временный	0.005750172063164683	0.00746608227247888	0.00012069318054686971
зависеть	0.03833726799779321	0.049872643383020124	0.0028831559674436765
волос	0.006787161439466367	0.006540001607919203	0.00024689229355644377
упасть	0.014592827133979943	0.0074738489232495904	0.0013705326492419439
голова	0.010563562031296136	0.007017857488732488	0.0038005400498652376
нечего	0.023869033119918538	0.04190685092211573	0.0027981584257444287
употреблять	0.018345951154394503	0.025042341462709897	0.0006586367097081773
скрывать	0.015765107324481123	0.054065836419186185	0.0008248926255829161
отпускать	0.03435942001787315	0.038165455838472	0.00033460498091353183
город	0.018148754324819542	0.02197979636373661	0.0018715980447060448
конец	0.037329417308138775	0.026181127831808093	0.007107138070259037
спасать	0.03596618260374058	0.04154783414745294	0.012668522776260715
скоро	0.04204716969976655	0.0284642481500844	0.007985872167450376
понимать	0.0778132799066562	0.06338827573047766	0.01815862228138598
назначение	0.011354431889252992	0.03121427048403688	0.0016431478450435204
